sentence,polarity
delicious  delicious barbecue i didnt even know that i liked barbecue until i ate at black dog for the first time i recommend any of the sandwiches  and the spicy southwest potato salad is spicy and wonderful the corn bread is dense and buttery with pieces of pulled pork inside very filling and rich and tasty  you will almost always have to wait for a table at this restaurant because the space is so small ive heard that ordering takeout works really well to cut down the waiting time before you get to eat  but i havent tried it yet the waitstaff are always friendly  though sometimes a little frazzled from the huge numbers of customers coming through for the amazing food,positive
i love this place they have some very unique sushi but they also have some boring ones so long as you order right  the sushi is amazing i recommend the flaming red dragon  i think that is what it was called the stir fry is also superb service is great also,positive
free seaming hot tea love the crispy beef very large portions best chinese food out there,positive
i got the lamb gyro and all i have to say is yum  oh and does anyone know how this cart is related to this cart httpjournalismnyuedupubzonepavementinshangrilaexpressservestibetanfoodoutofapushcart,positive
this place is easily one of my favorite places to eat  and you will quickly learn im not a stickler for fancy dining  i just like good food   fiesta prepares their burritos as close to homemade as i have found  they make their own tortillas and sauces  as well as having a variety of fresh accompaniments to top or stuff in your food  ive heard the tacos and quesadillas are good  but i order a burrito every single time i come here  why mess with something so good  they let you choose your choice of fillings including rice  two types of beans  and multiple meats including a great grilled steak or roasted pork  then you can choose to have your burrito enchilada style  and let me say right now  do that  they top it with a sauce of your choice green tomatillo  green chile  or red chile  sprinkle it with cheese  and bake it  then you can add salsa  sour cream and a few other sides if you wish  this place has become somewhat of an obsession at work  with fiesta trips happening every other week  the food is outstanding  the grilled steak burrito is my current favorite  with green chile sauce on top  which adds just the right amount of spice and lends great flavor  if you live in lafayette and have not visited here  you are truly missing out,positive
best mexican food in town  its located in small grocery store my kind of place and not only sells great things  but makes delicious food  i grew up near mexico  and this is as close to authentic that i have gotten in the area  the salsa is fresh  the sauces always taste just slightly different because they are made fresh every day  and the whole meal is always fantastic  the service is good and friendly  and their green enchiladas are awesome  they are working on expanding and adding another location i believe but they also do delivery and carryout,positive
we dined at maza last night for the first time since they relocated  im very happy we made a reservation  as they had a wait otherwise  the decor is nice  and the place is small without being too tight   service was also quite good  we ordered a bottle of lebanese wine  which was fantastic   you can either get all tapas style appetizers or enjoy one of their entrees  they locally source their meat  which i really appreciate  had the sambousek for an appetizer which was quite light and good  my wife had the armenian chicken  which came with peppers and rice and was outstanding  its a simple dish and was perfectly seasoned  i had the lamb shank with potatoes and rice which was also wonderful  i appreciate the food is simple  not smothered in sauces  and very well cooked  overall a great meal  and my new favorite upscale restaurant in the area,positive
dt kirbys has everything im looking for in a bar great prices  great staff  out of this world food  and oh yeah  its a bears bar   i cant recall how many times ive eaten here ive tried almost everything don  trish really have a great thing going for them  and dts is one of the biggest things i miss about living in the greater lafayette area   so here  are my favorties buffalo chicken sandwich bacon cheeseburger philly with cheezwhiz triple hog three different kinds of pig fried mushroomspicklesonionsfries with the secret fry sauce reuben sandwich reuben omelette every single hot dog on the menu  also  dont be a wimp  please refrain from asking for a knife to cut your sandwichburger bear down  get a freaking napkin   if you ask you ketchup  you will be heckled until you leave and rightfully so  normal people do not put ketchup on a hot dog  i love you  dt kirbys  and bear down chicago bears,positive
authentic mexican food in the middle of a bustling mexican grocery store sits la guadalupana  one of west lafayettes best kept secrets   please try something that you wouldnt normally order the tongue tacos are fantastic  as well as the menudo you can tell this has been made by a family adhering to the quality they would make for their family the food takes a while because its made to order  so make time to wait    the grocery is stoked with awesome imported foods and a wide selection of beautifully kitschy prayer candles,positive
flippin fantastic  our dinner here last week was definitely 5 star quality  the wine  steak  sides and service were all top notch  i liked the atmosphere a lot too  it wasnt too dark and even though the place was packed for a wednesday night you feel the isolation within your area  im a booth girl  so was a bit disappointed the only booths available were by the kitchen  so we opted for a table  if youd like a booth in a nice area  mention this when making reservations  they have tons of wine to choose from  the waiter was given free reign to choose from a white for us and he did an excellent job  i love the smaller entree selection  there are only three options  but i got the filet and the scalloped potatoes and it was the perfect size  as another reviewer mentioned  the service was great  but not overbearing  they give you plenty of time to finish your bottle and chat and leave at your own pace,positive
five stars for some of the best pearls ive tasted in the bay area  theyre soft  chewy  and theyre not too sweet  plus  at 150 for a green tea with pearls  its a steal  id definitely come here more often if i lived in berkeley and not san jose  p,positive
boy oh boy  were my taste buds in for a treat after being warmly greeted by the coownerhostessipoddj  we started with poached pears baked in raw honey with roquefort and drizzled with balsamic dressing and complemented by wine from nextdoor  byob and no corkage how deliciously affordable the other owner  her husband  stopped by our table to chat us up  he has managed nightclubs and restaurants in nyc for the better part of 15 years and is a charismatic whirlwind but back to the food  my friend went with the forest mushroom ragout stewed with tofu  carrots  spicy sprouts and caribbean beans  while i opted for free range chicken breast marinated in lime jus and jerk spices with chevre and papaya puree so tender  moist  and dripping with taste that sounded dirty  didnt it but im talking about some damn good cooking and the portions so generous even little miss piggy here couldnt finish her supper when it came to dessert however  this little piggy had none,positive
before i found cheese n stuff  i ate top ramen then i told myself no  i will not have that stereotypical college ramen  so i started eating at chipotle yeah  im original you dont have to tell me but thank you anyways  well i was too much a stingy bastard for chipotle so i switched to 3 6inch sandwichs from subway  but deep inside  i was disappointed  like a chain smoker who switched to nicotene patches but one day  one glorious day  i saw a little sign that said cheese n stuff and i wondered wtf is stuff is it wine crackers koala bears well i went in and found out  stuff is cheap  delicious sandwiches made to order from a variety of breads  cheeses  meats  and toppings its also salads that i havent tried but all that matters are the sandwiches seriously  go get one now youre wasting too much time reading this shit,positive
i love the sandwiches here  the honey oat bread is thick and so good  they are huge too  whenever i come to berkeley  i have to eat here conveniently located on telegraph where there is always a huge line out the door  they also have great salads  fresh tossed with fresh ingredients  sometimes they add too much dressing though good cheap prices especially for a starving student at cal  a healthy alternative for lunch or dinner,positive
yum  i ordered the nacho boy from nacho boy  and it was nothing but pure unadulterated deliciousness  roast beef  avocado  shrooms and melted swiss cheese stuffed inside a sourdough roll and made dirty  you gotta get it dirty this is my new favorite sandwich  call in your order or wait a hour in line and another half hour for the sandwich  this ikes place is located inside the engineering building at stanford university  i have also been to the one in sf  this one is closer and just as good but parking was not ideal  metered visitor parking sucks man   i love sandwiches and i love ikes place,positive
i cant comment on the food here but the ice cream is great  i tried the pistachio and it was a huge green scoop on a cake cone  everytime i go to palo alto  i try to make a trip here their ice cream is homemade and delicious  prices are really cheap too  this place is kind of hidden because its in a neighborhood and stands alone  cute old school diner type atmosphere  only open monday through fridays from 7am5pm,positive
i wish there was a wegmans in northern california  this place has everything  i swear  there is a fresh bakery  ready to eat hot foods  pharmacy  fresh produce  video store  amazing meat and cheese selection  dry cleaners and a lot more  this place is like costco except you dont have to buy things in bulk  it is one of my favorite things about the east coast i could come here everyday and find something new to enjoy  prices are normal supermarket prices and food is insanely gourmet  it is also open 24 hours a day for those college students who get the midnight munchies i am counting the days till wegmans comes to california  i will be there with bells on,positive
fresh cookies  soft or crispyyou decide  but either way they are delicious  this time i ordered the turtle and double chocolate chip with its a goody  i enjoyed it except for little bits of hardened toffee from the turtle cookie  but the cookie by itself is awesome  just not meant to be with ice cream unless you have strong teeth or like it really crunchy  its a good was so good    i also got the chocolate milk to go with my ice cream sandwich which was already filled with tons of chocolate  i think i oded on chocolate that dayi couldnt finish my chocolate milk  it was so good  but my body can only handle so much at once  but it was all worth it  im salivating right now just writing this review  ps cash only,positive
ib hoagies was one of my favorite joints at cal  i still go to berkeley just for the curly cheese fries  cheese fries  anything they have cheese on lol  its a college town fast food joint filled with yummy deliciousness  the cheese is the creamy kind not the real melted cheese  its ooey goey cheese sauce that just makes everything taste so good  i prefer coming here over the cheese steak house when i crave for more veggies  i love the sliced lettuce  mayo  tomatoes  pickles  the works  i usually order the chicken philly and its always juicy  it lets me feel a little less guilty for gorging on an order of curly cheese fries on my own lol  i heart ib hoagies ,positive
yay love this place they are open late they accept cash and credit card credit cards they charge a little extra though their portions are huge and their quick super close to cal  so after class i would just hop on over   service its a order and sit down place all the guys working there pretty friendly i never had a problem with it   food the food is awesome for the price  alfredo fettuccine with mushroom  loved it the pasta was al dente  which i loved because most fast place always over cook the pasta  cannoli  yummy it fixes my sugar craving  calzone  super huge but its worth it it can actually be split into two to share or to have for lunch and dinner good breadtoppings ratio   overall i would definitely recommend this place,positive
fine dining  no  good  hearty americanized chinese food  yes  ive always had excellent food and service at china garden  the location next to schnucks is super convenient  easy to stop by on the way home or for a quick run on weekends  i almost always get mine to go  which must be the case for most of their business  food is cooked to order and is super fast about 10 min  portions are large i get two meals from a single order  unlike many chinese restaurants  the flavor of the food isnt overwhelmed by generic seasoning or msg  the egg drop soup the large is a quart has nursed me through many colds and its ridiculously cheap  i appreciate their vegetarian options and theyve always accommodated special requests  their vegetarian spring rolls are gigantic  its chinese fast food  but its fresh  tasty  and a bargain,positive
the ribeye is the best for the greatest steak in town,positive
thanks to big grove we have a fine dining establishment that bases their menu on fresh and local ingredients  i went there with my husband for our anniversary  but i can easily see going back for a more casual meal  or even for drinks and bar snacks    every table starts with slightly sweet popcorn and we were promptly visited by our friendly and helpful wait staff  we had the chicken liver pate  bistro filet  house made sausage  and the tater tots  everything we tasted was delicious  i cant wait to go back and work my way through the menu,positive
definitely worth 5 stars  you wont get ambiance  but you will get amazing food,positive
this cafe is wonderful  the atmosphere is bright and cheery  the coffee is wonderful especially the iced soy mocha  and the staff is always super courteous  there is a nice patio in back to enjoy outside seating and there is always great art on the walls,positive
wonderful food and an amazing addition to our community,positive
this is the real deal,positive
i have gone multiple times and my parents pretty much live here the staff is very helpful and knowledgeable on what they have and they are super friendly i love trying new things and i am never disappointed  my dad has helped them with a batch of beer  they have made reeses vodka just for my mom and honestly  whenever i go with them to eat its like i walk onto the set of cheers everybody knows their name  but you dont have to be a regular to feel like youre getting special treatment i love that they bring you samples of their beer or tell you what just became available after aging i love the location  i love the feel i just wish i had more money so i could visit them more often,positive
i really like this place for two reasons  1 the restaurant  bar remind me of legitirish bars that i went to in the nice areas of dublin  the bar and decor are perfect for creating an irish pub setting to get dinner with your kids or have some beer with your friends or to watch a baseball game at the bar    2  the food is great  they have a great brunch menu featuring legitirish breakfasts that are the same as the ones ive had in dublin  their sandwiches and burgers are really good and their mac n cheese is heavenly,positive
this place has great sushi  they have great monday night specials 1 pieces of sushi  3 sake which i love to take advantage of  i really love the big roll  the beef roll  and the dynamite roll  pheonix is an off the menu roll that you can order which comes out on a plate set on fire  mixed drinks are really good there too,positive
two words to describe this joint outstanding bbq  if you eat meat  this is a place you have to try  great ribs  great pork  great brisket  the wait is always really long to get a table cause the food is fantastic  but the space is a bit small for the demand,positive
this place is tiny  which often leads to tricky parking situations and lines out the door  but dont be dissuaded everything ive tried has been fresh and flavorful  and absolutely not drowning in grease which is often my complaint when it comes to mexican food  particularly in the midwest my current favorites are the guacamole  veggie chalupas  and pumpkin flower quesadillla im slowly working my way through the veggie and fish menu as i return and return again  snacking on the complimentary chips and adding delicious warm salsa to all of the selections yum  lately ive been calling for takeout more often because the logistics of getting to maize and finding space are not always easy and so i would love if it could expand a bit and get some better bike  car parking bike rack  please but that doesnt seem to be worth knocking off a star  and other than that  i wouldnt want them to change anything,positive
im a mostlyveggie eater  and i love this place their portabello sandwich is among the best ive ever had  apparently smoking is the secret to cooking a big mushroom all the way through evenly and flavorfully the catfish is also delicious love getting a flight of sauces and working my way through them between dinner and the excellent sides i highly recommend the sweet potato fries and  if its summer  the smoked sweet corn yum as most everyone else has said  the meats are also delicious  according to my husband and the tons of people weve brought here for lunch or dinner  their tap list is relatively small  they usually have somewhere around 7 beers at a time  but theres always lovely choices recently  theres been some absolutely delicious dark pumpkin  apple fall beers bar and food service sometimes seems rushed  but surprisingly good for how busy they get  this place is insanely busy at pretty much all hours 30min wait at 830pm on a wednesday  but it has still become our default for outoftown guests that says a whole heck of a lot,positive
best breakfast in cu  the courier breakfast is fantastic  especially with the sausage links  which are essentially english bangers  delicious  when anyone visits town  i make a point to take them to courier because it is such a good representation of what cu has to offer  the coffee selection is almost always great  and service is typically delightful,positive
my friend and i celebrated his birthday here last night and the experience was perfect we were initially given a table very close to a party of four  but they quickly moved us to another table at our request the wine list was pretty broad and we enjoyed a bottle of aligot  a light white wine the bread  which features a different herb daily  was delicious with the butter sweetened with honey the mac  cheese appetizer was excellent  but the risotto was a little salty the butternut squash soup with crme frache was great while the idaho rainbow trout was prepared without much fanfare  it was a welcome change to such places like salt of the earth which drowns many of its dishes in an overabundance of disparate ingredients finally  the milk chocolate pot de crme was pure bliss it wasnt too sweet and perfect for two people to share the wait staff was pleasant and wellinformed i look forward to returning to toast in the near future,positive
awesome food selected from either seasonal menu or daily options the meatloaf  which is currently standard  was delicious and the green bean and sweet potato tempura starter was light and very tasty the dessert  the girl scout trio consisting of their take on samoas  tagalongs  and thin mints  was  well  orgasmic the waitress  roxanne  whom i told did not have to put on her red dress  was sweet and not overly attentive oh  and its byob i will definitely be back,positive
just incredible pastries  the breads obviously have an amazing amount of attention paid to them  and it pays off with the most flavorful and fulfilling bites  was in boston for just a weekend and had to come back the second day after falling in love with the sticky buns on the first day  sticky buns  bread on the breakfast sandwiches  cookies  yum,positive
had an amazing  friendly  quiet  cozy  fresh dinner here  very much looking forward to coming again but after going once ill say its one of the best places ive been in pittsburgh  daily menu is limited and written on a chalk board above the dining room  looking forward to getting to know this place  byob is a plus servers are friendly and attentive,positive
a decent ramen joint in university city and they have vegan ramen with vegan broth im sold  since ive been a vegetarian my entire life  ive always been envious of all my friends who get to slurp down ramen its been one of my biggest foodie dreams to finally have a bowl of ramen someday  and ramen bar has provided me with that  my 4 friends and i decided to go to ramen bar on a thursday night around 730pm it was packed fortunately  though  we only had to wait about 15 minutes to be seated at the clean  wooden tables a notable feature abour ramen bar is the open kitchen you pass by  where you can see everything the chefs are doing you can see that theyre actually making everything from scratch  in a very clean setting  so thats reassuring  since the restaurant is so new  the waitstaff are a bit flustered  but theyre extremely friendly and willing to do anything to accomodate the guests when we were ordering  my friend and i both ordered veggie ramen  and she made sure to ask if we wanted the vegetarian broth with traces of pork or have freshly made vegan broth at no additional charge awesome she also gave our table great recommendations on toppings  and our water was filled fairly regularly  it took about 20 minutes for our ramen to come out  which was impressive for how crowded the restaurant was i ordered a veggie shoyu ramen with curly noodles and was extremely impressed by the beautiful presentation and aroma of the dish the taste was even better obviously  i am no ramen snob  and have nothing to compare this ramen to  but aaaahhh finally having veg ramen for the first time in my life to me  the dish was excellent the addition of sriracha just made it better all of my friends were really impressed as well  and we had quite a jovial time i tried my friends veggie miso ramen with straight noodles  and it was amazing too  the only downside was that my friend ordered a 2nd order of noodles 2  but they didnt come in time  since theyre prepared from scratch however  the kind waitress packed it togo for him  as well as gave him more complimentary broth  which was appreciated also  8 to 12 for a bowl of ramen is steep  but not steep enough to keep me away from coming back every time my wallet can afford it  moral of the story im not sure how good this ramen is for omnivorous ramen snobs  but if youre a vegetarianvegan dying to finally try ramen  this is the place,positive
sniff  i cant believe this day has actually come  rip buck fiddy  you will be missed,positive
four stars for the food one star as a tip to the cook for never once wincing at the ready to erupt volcano of food in my bowl before it gets plopped on the grill  score two full days of food to add to the freshman fifteen   this place still holds a dear spot in my heart simply because it helped me feed my way through college the perfect meal was a night at mongols with a platter of meat  veggies  carbs  and lots of them not to mention glorious sauces glistening down my chin as i shoveled noodles into my gaping jaw keep going until youre full up to your chin  take the rest home and repeat in 24 hours thats the only way to do it  kids   i will still happily return to mongols at a moments notice i probably dont need to be as hasty with the volcanobowl save some for the hungry college kids cause im generous and all  but i will need a bib,positive
one of the ultimate questions in life has to be snickerdoodle or white choc macadamia chocolate chip or mm cookies and milk or ice cream sammy two or two dozen oh god  now what flavor of ice cream do i want a hot dog too do i really need these 900 calories   answer yes all of it for a dollar and change  what the hell else do you want  one day i hope to die by snickerdoodle overload,positive
enzos is probably the best pizza ive ever had they are open til really late on the weekends perfect for a 2am meal  and much better than taco bell which is across the street it has an italian mafia theme to it with pictures of frank sinatra and scenes from the godfather hanging on the walls not only do they have the best pizza in westwood  but they also have the biggest one time i ordered a massive 23 inch pizza that thing was a monster  enzos gets 5 stars for having the best pizza  prices  service  and ambience i recommend it to anyone in the westwood area who is hungry at 2am,positive
rip fake sub we call it fake sub cuz it was like subway  but fake lol  so many memories at this place  sad to see you go ,positive
i love going to the backyard its just perfect for a sunday afternoon the backyard burger is one of my favorite burgers in la this place is a little pricey but totally worth it you can sit by the pool and relax with some good food  great drinks  and sometimes they play house music i wish they would lower the prices a bit then it would be perfect,positive
best boba in westwood,positive
rip pastrami sandwich with extra meat no cucumbers  tear,positive
oh  mr luthe mystery of how yummy one burger can be is easily answered at this bright orange  funky decorated establishment  i have tried several of the burgers and never been disappointed among my favorite are bbq  blu cheese  and cajun i like to order the veggie with the cajun sauce its a bit spicy but a great addition to a burger that would be bland  the man who i always see there i am going to assume is mr lu   is always more than kind and friendly prices are reasonable  bit more than fast food  but much fresher also  with a punch card its pretty easy to acquire a free burger the fries are perfectly seasoned and flavorful  the fry sauce is a must  by the end of the meal 2 containers can easily be dominated by one person   hours are decent as well  i think theyre open until 10 or 11 on weekdays  take the walk across the street from jack in the box or memos  you will be delightfully surprised,positive
ok  you guys i love waffles i love sandwiches  so what coule be better than a  waffle sandwich oh yeah  pretty much nothing  madeleines serves a sandwich made with a fluffy waffle for bread it had an overmedium egg  ham  and a yummy tangy sauce that blended the sweetness of the waffle and the savory of the ham perfectly also noteworthy  it was made to order and hot when served  my boyfriend ordered the breakfast panini  which i snagged a bite of and it was very flavorful it had an egg  bacon  pickles  and another flavorful sauce it too was made to order and was hot and crispy  not at all greasy or soggy  both of us were very pleased and completely finished our sandwiches the staff were very welcoming and quick to prepare our food and coffee on another occasion  ive had one of their sweet cream filled pastries  and it was very light and airy  sweet and pretty cheap i think one dollar  all in all  i will definitely be back to this cute place,positive
absolutely the best place to have an asian style lunch free wifi and good music the owner likes classical music i like it too   their food  oh my god  check my pictures out chicken katsu don  shrimp tempura don  curry chicken rice bow all around 8 bucks and comes with purple rice i just love it  this place is super worthy to dine in   updated 080812 recent review by yelp user chris j about they dont make their own bakery is a false statement  they make their bakery i witness it every single day try their twicebaked almond croissant then tell me your comments again  to chris  reviews can easily harm lots of considerate  hardtrying small businesses please review with truth  not guesses or conjectures,positive
oh my god this is the best place to have breakfast sick of starbucks slow service on 42nd come here im sick of lining at starbucks every morning i think you are too  if you are a husky   come here i think you will be satisfied,positive
jesus  i love this place   if you havent had it try the dagwood roast beef  ham  turkey all cooked up on a flat iron grille and stuffed in a pita with fresh veggies what in the hell is not to like people have you checked out the nutrition facts on this place its healthier than subway for christ sake   360 calories for my favorite pita that fills me all the way up till the next meal all the complaints about this place are bullsheet you dont like it then you shouldnt be in the u dist crack heads  hookers  whores  bums  reeeaaallll chhhhaaannnggeeee  it all comes with the territory   i love the pita pit i might franchise one of these,positive
also very sad about the closing of this place i had been coming here since 2000  which my gf  now my wife we were driving through the u dist and were hungary and decided to stop in to relive our college days with some of the best teriyaki in seattle to our display the place has changed names  owners  decors  and menu we ordered anywaybig mistake the food was a huge downgrade the place that is there now is called thunder burger  teriyaki i should have known better i will be giving the thunder burger its own review rip kyoto teriyaki  you will be missed,positive
awesome possum assortment of fresh fruits  veggies  meats  cheese  herbs  and more  last time i was there the poppies were poppin with colors to die for  carrboro has such a cool vibe and its great to support local farmers  as a former fruitstand worker with family who owns a blueberry farm in michigan i had high standards  this is definitely worth a weekly trip,positive
med deli  mad deliciousness  their selection and flavorful dishes are to die for  i send any visitors looking for a great spot there  at work we cater a good 90 of our meals with them as its always a big hit among college kids,positive
vimala cooks  everybody eats  fresh  locally sourced food with a commitment to food justice and workers justice what could be better than that well  the food is really really tasty  i went for lunch  which meant no wait  as they just started their lunch service so quick  run over for lunch now before everyone finds out and it becomes as popular as their dinner service  i had the chole batura plate it was delicious  in addition to the yeasty batura bread and the chickpea chole  there was some kind of yummy slaw hiding under some chopped tomatos that was holding all these complex flavors  the dish was pretty good  then i tried the slaw  and it made it perfect  vimala came out a few times to ask how everything was  offer me some chutneys  and a second helping of the yummy batura  the lunch prices  though not cheap  are certainly reasonable given that the food is coming straight from local farms    there are tons of vegetarian options on the menu  vimala and her crew are very friendly  the prices are decent  the philosophy behind the food is one i can get behind  and the food itself is super tasty  this may be my new favorite place to eat in the triangle,positive
jack sprat is   1 a good restaurant as far as food goes i recommend the soups yummm as well as the santa fe wrap  2 a good coffee shop the coffee is good  atmosphere during the day can be studious but not overly quiet  and plugs are available for those with lap tops  3 a good bar there is often live music and generally a good crowd with good vibes here   overall i highly recommend this place,positive
just to repeat what so many people here have said best veggie burger in the triangle its amazing homemade goodness i usually get mine with goat cheese  caramelized onions  lettuce  tomato the fries are delicious  but come in huge portions i recommend splitting them with a friend it wont save you all that much money since they have a combo deal  but it will save substantially on wasted food yum the staff are also really nice  and the dipping sauces are delicious   i really miss living near buns  when i crave a veggie burger and fries buns is what i want,positive
i love this place its just so cute the building itself is unique  and its overall a very nice place for lunch or dinner with friends  as well as a nice place for a date more importantly  the food is awesome and the service is consistently good they have a wide array of both vegetarian and meat dishes everything ive gotten here and ive been a lot of times has be top notch delicious comfort food my personal favorite are the blackeyed pea cakes theyre amazing,positive
prior to last night  the last time id eaten at elaines was november 2007  not a reflection on elaines at all  but there was always something newer i wanted to try  piedmont  rue cler  watts  etc  those are all good restaurants  but in the fogginess of the last few years  somehow i ended up thinking that they were as good as elaines  i was wrong  elaines laid down the fucking law last night  i had the heirloom tomato sampler and the kurobuta pork chop and was in heaven from the first bite  heirloom tomatoes came with a salt sampler that was a little gimmicky maybe only because my taste buds are dead from years of smoke and liquor  but still delicious  pork chop and aioli were so good  the wife ate half ah marriage  only weak spot in the whole thing was dessert  i thought the mint ice cream sandwiches were decent  but nothing special  the rest of the meal was so good i cant bring myself to take an entire star off though  with durham getting the lions share of the food hype recently  its good to know there are places like elaines holding it down for chcarrboro  no chance im waiting another 2 years to go back,positive
finally  franklin street gets a restaurant that doesnt serve burritos or subs this place has great burgers and great fries their many dipping sauces are top notch too try the curry  youll love it my gf and i noticved that they serve brand x ketchup  so youll want to use the dippiong sauces instead this place is cheap  delicious  open late  and filling all of the makings of a great franklin st spot lets hope it lasts,positive
most amazing bar in the area they do everything perfectly  wine  beer  cocktails  cheese  charcuterie   chocolate they also have the best bartenders around listen to their suggestions go you wont regret it,positive
one of the best greek salads ive ever had all the greens  veggies were fresh  the grilled chicken was tender  juicy  and the dressing was not overwhelming and oily  im not a bread fan  but they serve warm homemade pita bread with the salad  definitely a good deal for the price my boyfriend enjoyed his gyro as well  in addition to tasty food  they have outdoor seating  which creates the perfect dining out experience,positive
